frame	position	phase	lumen_area	lumen_circumf	longest_distance	shortest_distance	elliptic_ratio	vector_length	vector_angle	measurement_1	measurement_2	pullback_speed	pullback_start_frame	frame_rate
1438	23.63	-	6.33	10.43	4.52	1.78	2.53	1.25	263.91					
1439	23.65	-	5.53	9.55	4.03	1.68	2.40	1.14	264.26					
1440	23.67	-	5.74	9.51	3.95	1.73	2.28	1.09	261.86					
1441	23.68	-	5.66	9.20	3.72	1.83	2.03	1.07	258.74					
1442	23.70	D	6.09	10.64	7.34	2.52	2.19	1.18	261.28					
1443	23.72	-	6.14	9.85	4.09	1.85	2.21	1.11	260.69					
1444	23.73	-	6.60	10.10	4.19	1.96	2.14	1.14	259.38					
1445	23.75	-	6.19	9.90	4.15	1.85	2.24	1.12	258.24					
1446	23.77	-	6.79	10.51	4.40	1.88	2.34	1.13	257.31					
1447	23.78	-	6.17	10.22	4.36	1.77	2.47	1.17	260.44					
1448	23.80	-	6.21	10.21	4.33	1.78	2.44	1.15	261.34					
1449	23.82	-	6.28	10.33	4.39	1.86	2.36	1.17	263.67					
1450	23.83	S	6.12	10.98	7.70	2.51	2.13	1.25	262.47					
1451	23.85	-	6.21	10.28	4.39	1.78	2.47	1.17	264.33					
1452	23.86	-	6.32	10.13	4.28	1.85	2.31	1.21	262.02					
1453	23.88	-	6.34	10.17	4.27	1.81	2.36	1.19	260.53					
1454	23.90	-	6.15	9.98	4.17	1.83	2.28	1.15	259.54					
1455	23.91	D	6.03	10.54	7.24	2.46	2.29	1.17	260.41					
1456	23.93	-	6.10	9.85	4.10	1.81	2.27	1.13	259.85					
1457	23.95	-	6.74	10.45	4.38	1.87	2.35	1.05	260.44					
1458	23.96	-	6.27	10.10	4.31	1.88	2.30	1.12	258.71					
1459	23.98	-	6.62	10.51	4.41	1.79	2.47	1.05	258.82					
1460	24.00	-	6.35	10.37	4.41	1.77	2.49	1.07	259.34					
1461	24.01	-	6.13	10.14	4.26	1.72	2.47	1.07	261.03					
1462	24.03	-	6.22	10.13	4.32	1.81	2.38	1.06	261.47					
1463	24.05	S	6.11	10.88	7.69	2.63	2.53	1.20	262.12					
1464	24.06	-	6.04	9.90	4.08	1.78	2.29	1.16	262.99					
1465	24.08	-	5.73	9.68	4.13	1.71	2.42	1.15	262.10					
1466	24.10	-	5.81	9.80	4.17	1.69	2.46	1.10	262.01					
1467	24.11	-	5.80	9.41	3.86	1.83	2.11	1.12	259.74					
1468	24.13	-	6.19	9.81	4.07	1.89	2.16	1.16	258.69					
1469	24.14	-	6.29	9.89	4.11	1.93	2.13	1.20	257.65					
1470	24.16	D	6.46	10.46	7.10	2.97	2.19	1.07	258.10					
1471	24.18	-	6.82	10.35	4.34	1.94	2.24	1.11	256.14					
1472	24.19	-	7.10	10.86	4.53	1.89	2.39	1.15	258.09					
1473	24.21	-	6.30	10.27	4.31	1.77	2.44	1.08	259.50					
