frame	position	phase	lumen_area	lumen_circumf	longest_distance	shortest_distance	elliptic_ratio	vector_length	vector_angle	measurement_1	measurement_2	pullback_speed	pullback_start_frame	frame_rate
90	1.47	-	16.08	14.26	4.85	4.27	1.14	0.90	64.56					
91	1.49	-	13.37	12.99	4.26	3.98	1.07	0.92	53.82					
92	1.50	-	13.85	13.26	4.32	4.12	1.05	0.77	44.60					
93	1.52	-	13.48	13.05	4.39	3.94	1.12	0.73	331.78					
94	1.54	-	15.24	13.85	4.58	4.25	1.08	0.81	306.89					
95	1.55	-	14.44	13.49	4.42	4.19	1.06	0.80	304.97					
96	1.57	-	13.59	13.09	4.25	4.04	1.05	0.60	313.90					
97	1.59	-	13.36	13.00	4.42	3.89	1.14	0.34	349.10					
98	1.60	-	12.74	12.68	4.16	3.88	1.07	0.33	336.55					
99	1.62	-	14.05	13.30	4.39	4.06	1.08	0.27	20.04					
100	1.63	-	14.63	13.59	4.52	4.10	1.10	0.41	53.75					
101	1.65	-	13.14	12.87	4.27	3.98	1.07	0.58	56.75					
102	1.67	-	15.72	14.12	4.81	4.22	1.14	0.93	73.56					
103	1.68	-	14.53	13.53	4.38	4.26	1.03	1.07	95.02					
104	1.70	-	15.93	14.19	4.66	4.31	1.08	1.08	62.04					
105	1.72	-	12.61	12.64	4.27	3.75	1.14	0.58	0.53					
106	1.73	-	15.54	13.99	4.62	4.29	1.08	0.84	311.95					
107	1.75	-	15.16	13.82	4.55	4.22	1.08	0.75	308.07					
108	1.77	-	15.00	13.74	4.49	4.26	1.06	0.60	309.58					
109	1.78	-	13.89	13.25	4.36	4.03	1.08	0.27	342.44					
110	1.80	-	14.67	13.60	4.46	4.16	1.07	0.37	5.06					
111	1.82	-	14.31	13.42	4.33	4.17	1.04	0.31	15.29					
112	1.83	-	14.50	13.52	4.42	4.14	1.07	0.52	46.51					
113	1.85	-	13.99	13.28	4.32	4.10	1.05	0.62	78.07					
114	1.87	-	14.78	13.66	4.57	4.09	1.12	0.94	73.46					
115	1.88	-	15.45	13.97	4.66	4.23	1.10	1.10	80.74					
116	1.90	-	14.87	13.70	4.46	4.29	1.04	1.16	71.43					
117	1.91	-	16.77	14.59	4.79	4.49	1.07	1.05	50.97					
118	1.93	-	15.88	14.14	4.63	4.32	1.07	0.74	349.35					
119	1.95	-	16.58	14.45	4.70	4.47	1.05	0.73	315.70					
120	1.96	-	16.22	14.29	4.65	4.41	1.06	0.68	310.00					
121	1.98	-	15.91	14.15	4.55	4.46	1.02	0.43	329.13					
122	2.00	-	15.78	14.11	4.69	4.29	1.09	0.37	15.10					
123	2.01	-	15.26	13.85	4.49	4.37	1.03	0.43	350.96					
124	2.03	-	16.30	14.32	4.64	4.48	1.04	0.44	21.84					
125	2.05	-	16.08	14.26	4.80	4.34	1.11	0.60	56.23					
126	2.06	-	15.79	14.15	4.85	4.17	1.16	0.73	57.63					
127	2.08	-	16.08	14.25	4.78	4.29	1.12	1.03	66.49					
128	2.10	-	14.90	13.73	4.62	4.11	1.12	1.04	72.00					
129	2.11	-	15.95	14.23	4.89	4.30	1.14	1.13	58.67					
130	2.13	-	14.37	13.48	4.48	4.15	1.08	0.84	45.96					
131	2.15	-	17.62	14.91	4.80	4.67	1.03	0.80	324.14					
132	2.16	-	16.62	14.48	4.78	4.49	1.07	0.84	314.55					
133	2.18	-	16.19	14.28	4.64	4.45	1.04	0.81	305.80					
134	2.19	-	15.83	14.11	4.53	4.40	1.03	0.70	315.78					
135	2.21	-	15.78	14.10	4.66	4.30	1.08	0.73	328.22					
136	2.23	-	15.12	13.80	4.49	4.25	1.06	0.74	318.98					
137	2.24	-	15.28	13.88	4.61	4.23	1.09	0.65	351.92					
138	2.26	-	15.74	14.11	4.73	4.22	1.12	0.56	28.23					
139	2.28	-	14.77	13.72	4.75	3.97	1.20	0.88	44.78					
140	2.29	-	15.61	14.03	4.64	4.34	1.07	1.11	58.70					
141	2.31	-	15.56	14.02	4.63	4.38	1.06	1.18	59.13					
142	2.33	-	16.80	14.59	4.87	4.39	1.11	1.16	49.81					
143	2.34	-	15.30	13.93	4.58	4.19	1.09	0.82	5.72					
144	2.36	-	16.23	14.30	4.72	4.40	1.07	0.98	313.77					
145	2.38	-	14.75	13.64	4.49	4.11	1.09	1.04	305.25					
146	2.39	-	14.84	13.67	4.49	4.22	1.07	1.01	298.92					
147	2.41	-	14.57	13.54	4.40	4.19	1.05	0.85	310.90					
148	2.43	-	15.39	13.95	4.70	4.16	1.13	0.85	317.55					
149	2.44	-	14.82	13.66	4.46	4.20	1.06	0.77	314.72					
150	2.46	-	15.51	13.97	4.52	4.34	1.04	0.65	347.62					
151	2.47	-	14.27	13.40	4.36	4.20	1.04	0.58	5.08					
152	2.49	-	16.22	14.36	4.87	4.29	1.14	1.00	38.17					
153	2.51	-	15.39	13.94	4.68	4.24	1.10	1.14	66.32					
154	2.52	-	15.37	13.92	4.60	4.30	1.07	1.18	55.00					
155	2.54	-	14.36	13.47	4.38	4.24	1.03	1.05	34.18					
156	2.56	-	15.03	13.78	4.64	4.21	1.10	0.89	326.95					
157	2.57	-	15.55	14.00	4.63	4.28	1.08	0.98	309.92					
158	2.59	-	15.05	13.80	4.59	4.17	1.10	0.99	300.42					
159	2.61	-	14.46	13.52	4.54	4.04	1.12	0.86	305.12					
160	2.62	-	14.22	13.39	4.40	4.07	1.08	0.62	331.48					
161	2.64	-	14.56	13.57	4.57	4.03	1.14	0.72	316.06					
162	2.66	-	14.72	13.61	4.47	4.19	1.06	0.60	336.47					
163	2.67	-	15.19	13.84	4.53	4.28	1.06	0.50	14.70					
164	2.69	-	14.41	13.53	4.61	3.97	1.16	0.68	42.24					
165	2.71	-	16.42	14.39	4.80	4.41	1.09	1.13	74.96					
166	2.72	-	16.02	14.23	4.74	4.36	1.09	1.20	75.81					
167	2.74	-	16.37	14.41	4.84	4.21	1.15	1.14	59.32					
168	2.75	-	12.46	12.61	4.28	3.63	1.18	0.75	359.92					
169	2.77	-	16.24	14.30	4.69	4.48	1.05	0.88	314.14					
170	2.79	-	15.59	14.01	4.60	4.31	1.07	0.85	313.26					
171	2.80	-	15.49	13.96	4.53	4.34	1.04	0.78	306.60					
172	2.82	-	15.01	13.74	4.46	4.29	1.04	0.57	326.01					
173	2.84	-	15.10	13.80	4.59	4.24	1.08	0.60	340.56					
174	2.85	-	14.72	13.62	4.47	4.13	1.08	0.52	340.16					
175	2.87	-	15.10	13.78	4.43	4.31	1.03	0.51	16.83					
176	2.89	-	14.65	13.60	4.51	4.15	1.09	0.54	47.85					
177	2.90	-	15.90	14.25	4.95	4.08	1.21	0.89	59.97					
178	2.92	-	15.79	14.11	4.70	4.36	1.08	1.17	74.59					
179	2.94	-	15.34	13.91	4.63	4.30	1.08	1.19	70.57					
180	2.95	-	16.47	14.41	4.70	4.45	1.06	1.10	57.60					
181	2.97	-	15.50	13.99	4.57	4.26	1.07	0.68	352.34					
182	2.99	-	16.83	14.55	4.69	4.60	1.02	0.70	318.75					
183	3.00	-	16.05	14.21	4.62	4.41	1.05	0.66	309.74					
184	3.02	-	15.63	14.02	4.51	4.42	1.02	0.53	320.98					
185	3.03	-	14.79	13.64	4.45	4.24	1.05	0.42	353.77					
186	3.05	-	14.82	13.67	4.55	4.18	1.09	0.52	336.38					
187	3.07	-	15.38	13.92	4.55	4.27	1.07	0.45	8.67					
188	3.08	-	15.74	14.11	4.75	4.28	1.11	0.57	51.23					
189	3.10	-	15.27	13.93	4.76	4.11	1.16	0.70	59.48					
190	3.12	-	16.37	14.40	4.90	4.30	1.14	1.05	68.17					
191	3.13	-	14.54	13.59	4.57	4.10	1.12	1.03	72.55					
192	3.15	-	16.51	14.45	4.86	4.46	1.09	1.15	60.69					
193	3.17	-	16.19	14.32	4.79	4.41	1.08	0.89	45.65					
194	3.18	-	16.91	14.59	4.73	4.59	1.03	0.66	328.25					
195	3.20	-	17.15	14.69	4.70	4.64	1.01	0.66	317.99					
196	3.22	-	17.12	14.67	4.69	4.65	1.01	0.51	313.27					
197	3.23	-	15.25	13.85	4.45	4.35	1.02	0.41	329.84					
198	3.25	-	15.83	14.13	4.70	4.28	1.10	0.47	1.35					
199	3.27	-	15.14	13.81	4.55	4.25	1.07	0.55	339.44					
200	3.28	-	14.98	13.75	4.45	4.28	1.04	0.48	29.27					
201	3.30	-	15.93	14.18	4.67	4.39	1.06	0.67	56.64					
202	3.31	-	16.50	14.50	5.08	4.21	1.21	1.00	63.52					
203	3.33	-	15.16	13.83	4.58	4.17	1.10	1.10	67.90					
204	3.35	-	16.17	14.31	4.86	4.35	1.12	1.19	73.60					
205	3.36	-	16.73	14.55	4.80	4.43	1.08	1.13	60.11					
206	3.38	-	15.96	14.21	4.66	4.42	1.05	0.73	12.53					
207	3.40	-	17.13	14.69	4.76	4.59	1.04	0.78	317.87					
208	3.41	-	16.39	14.37	4.69	4.43	1.06	0.79	308.99					
209	3.43	-	15.42	13.93	4.51	4.34	1.04	0.62	307.69					
210	3.45	-	14.44	13.48	4.35	4.21	1.03	0.58	324.36					
211	3.46	-	14.66	13.62	4.62	4.06	1.14	0.73	321.79					
212	3.48	-	15.21	13.83	4.45	4.33	1.03	0.68	327.71					
213	3.50	-	15.19	13.84	4.56	4.27	1.07	0.57	29.09					
214	3.51	-	14.35	13.47	4.55	4.03	1.13	0.66	46.84					
215	3.53	-	16.63	14.51	4.95	4.37	1.13	1.03	56.74					
216	3.55	-	16.27	14.36	4.87	4.27	1.14	1.17	62.01					
217	3.56	-	15.61	14.04	4.68	4.34	1.08	1.17	57.68					
