frame	position	phase	lumen_area	lumen_circumf	longest_distance	shortest_distance	elliptic_ratio	vector_length	vector_angle	measurement_1	measurement_2	pullback_speed	pullback_start_frame	frame_rate
1122	37.65	-	10.05	11.91	4.64	2.80	1.66	0.80	80.85					
1123	37.69	-	15.90	18.03	6.10	2.23	2.74	0.85	335.88					
1124	37.72	-	18.86	19.81	6.40	2.71	2.34	1.04	339.91					
1125	37.75	-	16.10	15.71	5.30	3.54	1.50	0.85	5.33					
1126	37.78	-	15.75	15.59	5.86	2.90	2.02	1.34	26.89					
1127	37.82	-	17.00	16.05	5.96	3.20	1.86	1.52	26.97					
1128	37.85	-	17.56	16.16	6.10	3.18	1.92	1.53	24.82					
1129	37.88	-	14.87	15.04	5.71	3.47	1.64	1.19	29.69					
1130	37.92	-	16.79	17.40	6.25	2.45	2.55	1.16	27.66					
1131	37.95	-	12.52	15.14	5.64	3.10	1.82	1.03	70.42					
1132	37.98	-	19.42	19.62	6.92	2.76	2.54	0.96	18.10					
1133	38.01	-	16.67	17.56	6.22	2.66	2.34	1.16	357.47					
1134	38.05	-	17.36	18.15	6.11	2.35	2.60	1.43	353.90					
1135	38.08	-	19.74	17.31	6.32	3.53	1.79	1.53	356.31					
1136	38.11	-	17.61	16.21	5.94	3.41	1.75	1.28	11.62					
1137	38.15	-	17.47	16.26	6.10	3.31	1.85	1.36	11.84					
1138	38.18	-	18.58	16.23	6.17	3.87	1.59	1.51	22.66					
1139	38.21	-	20.99	17.06	6.45	3.98	1.62	1.84	24.66					
1140	38.24	-	18.46	15.85	5.87	4.08	1.44	1.60	31.59					
1141	38.28	-	20.12	16.71	6.23	3.98	1.56	1.61	27.49					
1142	38.31	-	18.96	16.68	6.30	3.37	1.87	1.35	26.75					
1143	38.34	-	16.61	16.42	6.14	3.31	1.86	1.06	35.29					
1144	38.38	-	18.02	16.56	6.10	3.47	1.75	1.12	26.24					
1145	38.41	-	18.38	17.92	5.98	2.89	2.07	1.21	12.93					
1146	38.44	-	13.49	15.13	5.90	2.79	2.12	1.12	22.86					
1147	38.47	-	16.63	15.98	5.83	3.36	1.73	1.45	9.88					
1148	38.51	-	15.62	15.62	5.88	3.17	1.85	1.25	14.86					
1149	38.54	-	18.96	16.27	6.03	3.72	1.62	1.61	9.62					
1150	38.57	-	20.55	16.83	6.22	3.95	1.58	1.80	18.55					
1151	38.61	-	16.39	14.76	5.34	3.90	1.37	1.57	35.19					
1152	38.64	-	19.10	16.34	6.32	3.87	1.63	1.64	24.61					
1153	38.67	-	19.38	16.22	5.98	3.88	1.54	1.57	27.48					
1154	38.71	-	15.50	14.80	5.57	3.24	1.72	1.27	35.00					
1155	38.74	-	14.27	14.39	5.23	3.51	1.49	1.19	48.41					
1156	38.77	-	16.72	15.52	5.74	3.39	1.70	1.25	25.13					
1157	38.80	-	16.65	16.37	5.88	2.88	2.04	1.23	18.86					
1158	38.84	-	15.01	15.07	5.54	3.20	1.73	1.30	17.80					
1159	38.87	-	16.77	15.40	5.69	3.63	1.57	1.49	13.26					
1160	38.90	-	18.51	16.02	5.84	3.88	1.50	1.71	12.77					
1161	38.94	-	17.97	16.38	6.21	3.48	1.79	1.66	14.17					
1162	38.97	-	19.22	16.14	5.76	4.08	1.41	1.76	26.70					
1163	39.00	-	18.84	16.23	5.90	3.98	1.49	1.80	28.59					
1164	39.03	-	19.32	16.17	5.94	4.12	1.44	1.60	35.36					
1165	39.07	-	17.26	15.57	5.91	3.55	1.66	1.48	41.00					
1166	39.10	-	16.55	15.02	5.56	3.54	1.57	1.31	40.49					
1167	39.13	-	17.49	15.95	6.07	3.61	1.68	1.30	40.51					
1168	39.17	-	16.82	15.60	5.74	3.29	1.74	1.30	30.09					
1169	39.20	-	16.83	15.81	6.01	3.24	1.85	1.23	29.97					
1170	39.23	-	16.97	15.51	5.58	3.42	1.64	1.35	17.72					
1171	39.26	-	16.31	15.18	5.69	3.35	1.70	1.54	8.25					
1172	39.30	-	16.59	15.27	5.46	3.47	1.57	1.58	14.15					
